time,x,y,z
0.0,1.6,0.0,0.0
0.06346651825433926,1.5973146675553471,0.10151233431234737,0.06977057148199843
0.12693303650867852,1.5892586811209226,0.20281987970030288,0.1392857572246171
0.1903995547630178,1.5758321388945173,0.3037167505342048,0.208291199836712
0.25386607301735703,1.557035423449743,0.40399487287386365,0.2765345944828149
0.3173325912716963,1.5328695321167711,0.5034429033585704,0.3437667048256567
0.3807991095260356,1.503336543489487,0.6018451645803866,0.4097423666129311
0.4442656277803748,1.468440223900797,0.6989806038232802,0.4742214748672091
0.5077321460347141,1.4281867786086864,0.7946217832526227,0.5369699507039402
0.5711986642890533,1.3825857531756525,0.8885339111548777,0.5977606838845029
0.6346651825433925,1.3316510910528963,0.9804739256610044,0.6563744473089796
0.6981317007977318,1.2754023536392023,1.0701896445412893,0.7126007797663124
0.7615982190520711,1.213866109004056,1.1574189971310238,0.7662388333873191
0.8250647373064104,1.1470774949657638,1.2418893572245633,0.8170981823881743
0.8885312555607496,1.075081961207512,1.3233169988371614,0.8649995898478318
0.9519977738150889,0.9979371934956519,1.4014067000410124,0.9097757294318446
1.0154642920694281,0.9157152207233771,1.4758515235749703,0.9512718591564572
1.0789308103237674,0.8285047023197927,1.5463328065209736,0.9893464444799588
1.1423973285781066,0.7364133894158336,1.6125203949166536,1.023871728212329
1.2058638468324459,0.639570747923008,1.6740731625769183,1.0547342449483512
1.269330365086785,0.5381307252470799,1.7306398564269496,1.0818352779527525
1.3327968833411243,0.4322746346361895,1.781860313054744,1.105091256657654
1.3962634015954636,0.32221412209638883,1.8273670926693302,1.1244340931717545
1.4597299198498028,0.2081941703946557,1.866787576842646,1.1398114564462345
1.5231964381041423,0.09049608298102865,1.8997465749086262,1.1511869829934223
1.5866629563584815,-0.030559622134750483,1.9258694802386453,1.1585404233097232
1.6501294746128208,-0.15461049213123543,1.9447860113263897,1.1618677234132244
1.71359599286716,-0.2812496903232609,1.9561345632122578,1.1611810411676486
1.7770625111214993,-0.41002392965718293,1.9595671818033842,1.1565086973269287
1.8405290293758385,-0.5404319128566074,1.9547551567235668,1.1478950614975258
1.9039955476301778,-0.671923414079076,1.9413952072158198,1.1354003734776863
1.967462065884517,-0.80389914453912,1.9192162102793275,1.119100500693033
2.0309285841388562,-0.9357115476733703,1.887986390888935,1.0990866327052216
2.0943951023931957,-1.066666666666667,1.8475208614068024,1.0754649140237582
2.1578616206475347,-1.1960272171216586,1.797689362158403,1.048356016699525
2.221328138901874,-1.323016979057258,1.7384240190808264,1.0178946544210195
2.284794657156213,-1.446826594256179,1.6697268993148815,0.9842290400698797
2.3482611754105527,-1.5666208166892297,1.5916771140104582,0.9475202889199181
2.4117276936648917,-1.6815472153943882,1.5044371922171738,0.9079417698827807
2.475194211919231,-1.7907462716524565,1.408258433516164,0.8656784074125283
2.53866073017357,-1.8933627473787904,1.3034849429708117,0.8209259368801278
2.6021272484279097,-1.9885581321364818,1.1905560626825307,0.7738901164161973
2.6655937666822487,-2.0755239058226276,1.0700069417420666,0.7247858983956355
2.729060284936588,-2.153495287442879,0.9424670316987167,0.6738365639002724
2.792526803190927,-2.2217650825467365,0.8086563575790044,0.6212728236447616
2.8559933214452666,-2.2796971980368355,0.6693794932209771,0.5673318889859563
2.9194598396996057,-2.3267393679915607,0.5255172609136863,0.5122565167565014
2.982926357953945,-2.3624346317223943,0.3780162742104168,0.4562940317687444
3.0463928762082846,-2.3864311279450687,0.22787654327210932,0.3996953309250109
3.1098593944626236,-2.3984898172278104,0.07613745739964918,0.3427138729443301
3.173325912716963,-2.3984898172278104,-0.07613745739964967,0.2856046577736285
3.236792430971302,-2.3864311279450687,-0.2278765432721098,0.22862319979294762
3.3002589492256416,-2.3624346317223943,-0.3780162742104172,0.1720244989492141
3.3637254674799806,-2.3267393679915607,-0.5255172609136858,0.11606201396145754
3.42719198573432,-2.2796971980368355,-0.6693794932209776,0.06098664173200219
3.490658503988659,-2.2217650825467365,-0.8086563575790039,0.007045707073197294
3.5541250222429985,-2.153495287442879,-0.942467031698717,-0.0455180331823139
3.6175915404973376,-2.0755239058226276,-1.0700069417420661,-0.0964673676776765
